City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,kaitong,44.8135,123.15,16.72,72,23,2.64,CN,1692826937
129,tsiombe,-25.3,45.4833,21.61,64,0,1.77,MG,1692826937
130,san luis,-33.295,-66.3356,10.87,55,88,9.64,AR,1692826902
131,christchurch,-43.5333,172.6333,10.51,83,100,1.54,NZ,1692826678
132,san sebastian de la gomera,28.0916,-17.1133,27.2,61,0,2.57,ES,1692826940
133,talnakh,69.4865,88.3972,11.23,87,97,5.41,RU,1692826867
134,sinalunga,43.2152,11.7495,26.53,48,1,1.37,IT,1692826941
135,coyuca de catalan,18.3333,-100.65,34.01,49,71,0.76,MX,1692826943
136,carutapera,-1.195,-46.02,26.16,76,27,4.15,BR,1692826944
137,bulayevo,54.9056,70.4439,12.11,93,99,4.63,KZ,1692826945
138,punta arenas,-53.15,-70.9167,0.62,86,88,7.15,CL,1692826747
139,queenstown,-31.8976,26.8753,5.54,71,4,1.64,ZA,1692826946
140,hailey,43.5196,-114.3153,28.27,39,75,0.0,US,1692826947
141,ola,59.5833,151.2833,13.97,83,100,0.95,RU,1692826948
142,wailua homesteads,22.0669,-159.378,30.24,73,40,6.17,US,1692826949
143,moab,38.5733,-109.5498,32.01,37,73,4.76,US,1692826949
144,hasaki,35.7333,140.8333,27.39,86,0,4.63,JP,1692826950
145,namibe,-15.1961,12.1522,17.07,86,8,0.82,AO,1692826848
146,mount pearl,47.5166,-52.7813,15.19,97,100,3.09,CA,1692826952
147,touros,-5.1989,-35.4608,24.88,82,0,5.57,BR,1692826870
148,tura,25.5198,90.2201,23.48,99,100,1.59,IN,1692826953
149,saint-philippe,-21.3585,55.7679,20.77,78,56,6.12,RE,1692826954
150,qamdo,31.1667,97.2333,4.48,89,100,1.46,CN,1692826955
151,bhimunipatnam,17.8833,83.4333,28.06,79,100,1.97,IN,1692826955
152,taoudenni,22.6783,-3.9836,38.14,20,88,3.47,ML,1692826931
153,afaahiti,-17.75,-149.2833,26.93,66,42,3.1,PF,1692826957
154,myskhako,44.6714,37.7433,15.88,55,0,3.25,RU,1692826958
155,chonchi,-42.6128,-73.8092,8.56,85,40,1.32,CL,1692826959
156,houghton,47.1219,-88.569,18.69,98,100,4.12,US,1692826822
157,zhob,31.3411,69.4481,28.44,25,100,2.6,PK,1692826961
158,dunedin,-45.8742,170.5036,10.6,83,100,0.45,NZ,1692826801
159,lerwick,60.1545,-1.1494,13.0,88,18,4.39,GB,1692826962
160,kununurra,-15.7667,128.7333,23.99,23,0,5.14,AU,1692826963
161,piti village,13.4626,144.6933,27.03,93,100,3.6,GU,1692826964
162,margaret river,-33.95,115.0667,14.43,75,100,3.34,AU,1692826964
163,susuman,62.7833,148.1667,9.53,90,100,1.56,RU,1692826965
164,whitehorse,60.7161,-135.0538,24.5,35,20,1.03,CA,1692826773
165,karratha,-20.7377,116.8463,20.96,43,0,4.07,AU,1692826966
166,auki,-8.7676,160.7034,27.29,76,58,2.51,SB,1692826967
167,banda aceh,5.5577,95.3222,26.23,82,100,2.79,ID,1692826968
168,jeremie,18.65,-74.1167,29.27,75,99,0.66,HT,1692826969
169,fisterra,42.9049,-9.2629,21.12,87,100,2.81,ES,1692826969
170,miyaly,48.8844,53.7836,19.18,41,21,1.89,KZ,1692826970
171,agat village,13.3886,144.6585,27.06,93,100,3.6,GU,1692826971
172,realeza,-25.7689,-53.5325,23.79,55,0,0.63,BR,1692826973
173,cambridge,43.3601,-80.3127,18.27,95,100,3.6,CA,1692826974
174,chechelnyk,48.8353,26.6484,17.95,75,20,2.94,UA,1692826974
175,tromso,69.6496,18.957,10.21,87,75,5.14,NO,1692826975
176,kailua-kona,19.6406,-155.9956,29.72,74,40,4.63,US,1692826976
177,sosnovo-ozerskoye,52.5249,111.5418,9.44,89,77,0.53,RU,1692826977
178,ishigaki,24.3448,124.1572,28.07,89,20,2.57,JP,1692826977
179,rikaze,29.25,88.8833,13.46,71,100,0.75,CN,1692826979
180,cururupu,-1.8283,-44.8683,24.25,82,6,1.8,BR,1692826979
181,lata,40.1629,-8.3327,20.6,82,0,0.84,PT,1692826980
182,utrik,11.2278,169.8474,28.1,75,86,3.87,MH,1692826981
183,neon karlovasion,37.7903,26.7044,28.28,71,15,0.86,GR,1692826982
184,tolanaro,-25.0319,46.9987,22.04,83,20,8.23,MG,1692826983
185,cabo san lucas,22.8909,-109.9124,34.78,70,20,4.63,MX,1692826983
186,east london,-33.0153,27.9116,13.95,60,4,7.12,ZA,1692826984
187,sisimiut,66.9395,-53.6735,8.83,82,77,0.32,GL,1692826985
188,margate,51.3813,1.3862,19.94,81,98,1.79,GB,1692826986
189,tame,6.461,-71.73,29.36,72,94,0.9,CO,1692826986
190,villa gesell,-37.2639,-56.973,11.7,78,51,4.87,AR,1692826987
191,yaren,-0.5472,166.916,27.8,79,41,4.01,NR,1692826988
192,ilulissat,69.2167,-51.1,9.01,81,75,3.6,GL,1692826989
193,mirnyy,62.5353,113.9611,9.02,70,99,1.07,RU,1692826989
194,shaoxing,30.011,120.5715,25.97,96,3,0.38,CN,1692826990
195,dourbali,11.8091,15.8632,25.05,81,97,7.15,TD,1692826991
196,waverly,42.7392,-84.6208,33.05,69,20,7.2,US,1692826992
197,dwarka,22.2394,68.9678,26.83,84,100,8.76,IN,1692826993
198,kodiak,57.79,-152.4072,16.73,72,20,4.63,US,1692826993
199,preobrazheniye,42.9019,133.9064,22.02,99,99,0.71,RU,1692826994
200,pacific grove,36.6177,-121.9166,32.53,78,0,4.02,US,1692826737
201,robore,-18.3333,-59.75,37.05,41,1,7.72,BO,1692826996
202,ad dabbah,18.05,30.95,33.52,34,100,0.96,SD,1692826997
203,grand falls-windsor,48.9332,-55.6649,18.61,73,43,0.89,CA,1692826997
204,alesund,62.4723,6.1549,15.42,84,75,4.12,NO,1692826925
205,okhotsk,59.3833,143.3,13.79,91,100,5.47,RU,1692826999
206,hajin,34.6927,40.827,34.89,16,0,3.68,SY,1692827000
207,sorong,-0.8833,131.25,25.06,91,100,4.22,ID,1692827000
208,sarupathar,26.1984,93.8094,24.1,98,100,1.05,IN,1692827001
209,rio grande,-32.035,-52.0986,16.06,84,91,5.72,BR,1692827002
210,lihue,21.9789,-159.3672,30.58,66,40,6.17,US,1692827004
211,jamestown,42.097,-79.2353,17.79,90,20,3.09,US,1692827004
212,praia da vitoria,38.7333,-27.0667,21.14,83,40,5.57,PT,1692827005
213,chabahar,25.2919,60.643,28.7,81,77,1.59,IR,1692827006
214,tofol,5.3248,163.0078,28.35,70,6,2.17,FM,1692827007
215,morro do chapeu,-11.55,-41.1561,21.72,53,37,3.62,BR,1692827008
216,galle,6.0367,80.217,27.12,79,41,4.79,LK,1692827008
217,ixtapa,20.7,-105.2,32.9,74,75,5.14,MX,1692827009
218,colonia,50.9333,6.95,21.64,72,0,0.51,DE,1692826861
219,kapa'a,22.0752,-159.319,30.99,73,40,6.17,US,1692827011
220,nouadhibou,20.931,-17.0347,24.99,83,1,5.66,MR,1692827012
221,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,100,3.0,RU,1692827013
222,mucuri,-18.0864,-39.5508,24.51,82,0,6.11,BR,1692827013
223,san antonio de pale,-1.4014,5.6325,23.26,89,4,2.33,GQ,1692826961
224,ta`u,-14.2336,-169.5144,26.65,68,50,7.5,AS,1692827015
225,avarua,-21.2078,-159.775,25.03,69,40,5.66,CK,1692827016
226,saldanha,-33.0117,17.9442,7.03,72,8,2.22,ZA,1692827016
227,heber springs,35.4915,-92.0313,37.41,30,51,2.55,US,1692826801
228,valdivia,-39.8142,-73.2459,11.05,89,42,1.0,CL,1692827018
229,portland,45.5234,-122.6762,27.04,44,75,4.12,US,1692826853
230,polyarnyy,69.1989,33.4478,7.37,86,17,1.13,RU,1692826919
231,invercargill,-46.4,168.35,8.9,91,88,0.89,NZ,1692827020
232,miracema do tocantins,-9.5618,-48.3967,32.61,32,42,1.11,BR,1692827021
